Name,Length_of_book,Length_of_book_cleaned,Average_length_of_words,Most_common_character,Most_common_word
chinese,176609,155148,,的,
english,593782,573213,4.485831511944476,e,the
french,644677,616816,4.883908960992874,e,de
german,662495,641455,5.428611551347122,e,die
hungarian,576194,555261,5.8660315570110155,e,a
italian,645630,625490,5.064131541931416,e,di
polish,554736,536573,5.71539070053617,i,się
portugues,610666,591544,5.011849305315405,a,de
russian,496055,406841,48.77257156838757,о,да
slovak,498347,470911,4.897449735184116,o,a
spanish,593583,577644,4.771498820613281,e,de
ycontrol,107,90,4.0,e,is
